Cluster ID,Label,Comment,Slope
0 in 2019,Steuerrecht,,
4 in 2019,Sozialrecht (Kranken- und Sozialversichung),,
8 in 2019,Kapitalmarktrecht,,
0 in 2017,Bürgerliches Recht,,
0 in 2000,Strafrecht,,
11 in 2018,Sozialrecht,,
8 in 2013,Öffentliches Planungsrecht,,
6 in 2001,Gesellschaftsrecht und Rechungslegung,,
1 in 2008,Staatsbedienstetenrecht,,
6 in 2002,Familienrecht,,
18 in 2019,Migrationsrecht,,
17 in 2019,Kommunikation und Verfahrensrecht,,
32 in 2015,Staatsorganisations- und Medizinrecht,,
42 in 2019,Vollstreckungsrecht,,
6 in 1996,Sozialrecht (Unfallversicherung and Rentenanpassungen),,
8 in 1994,"Recht bzgl. Zivildienst, Wehrdienst, Seuchen, Benachteiligte",,
14 in 2000,Kriegsfolgenrecht,,
41 in 2015,Handwerksrecht,,
32 in 1994,Arbeitssozialrecht,,
54 in 2015,Immissions- und Energierecht,,
